Date,AAPL,AMGN,AMZN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,NVDA,PG,SHW,TRV,TSLA,UNH,V,VZ,WMT
2024-08-23,226.3418426513672,323.5772705078125,177.0399932861328,249.229736328125,174.9600067138672,345.8946533203125,262.87274169921875,49.68265914916992,144.5263214111328,90.16049194335938,501.4410705566406,369.0250244140625,200.4154815673828,193.27894592285156,160.31375122070312,214.54397583007812,68.28910064697266,284.4813232421875,128.52908325195312,113.9211196899414,415.1250305175781,82.83260345458984,129.33811950683594,167.161865234375,357.28887939453125,219.03733825683594,220.32000732421875,577.7501831054688,266.484130859375,39.23981857299805,75.32579040527344
2024-08-26,226.68109130859375,321.5893859863281,175.5,251.7884979248047,173.47999572753906,348.6247863769531,264.14727783203125,49.73160934448242,145.38787841796875,91.37510681152344,499.91534423828125,367.57086181640625,201.7715301513672,195.13189697265625,160.7825927734375,215.38914489746094,69.31651306152344,283.65594482421875,130.50872802734375,113.59869384765625,411.8382263183594,83.05925750732422,126.42884063720703,168.32786560058594,359.2409973144531,219.98529052734375,213.2100067138672,580.33984375,267.2513427734375,39.50643539428711,75.65416717529297
2024-08-27,227.52923583984375,321.73699951171875,173.1199951171875,252.92901611328125,173.0500030517578,348.5850830078125,263.0718688964844,49.65327453613281,143.87034606933594,90.49899291992188,499.31488037109375,366.6571350097656,204.00848388671875,195.87109375,160.36923217773438,216.3817138671875,69.96231842041016,284.5992431640625,130.0632781982422,113.82341766357422,412.18682861328125,84.05463409423828,128.26840209960938,167.2409210205078,358.53387451171875,220.83450317382812,209.2100067138672,580.5572509765625,269.7524108886719,39.46834945678711,75.75366973876953
2024-08-28,225.99261474609375,324.25634765625,170.8000030517578,254.97203063964844,170.7100067138672,345.6861572265625,257.79449462890625,48.811195373535156,142.9402618408203,89.09521484375,495.4464111328125,366.17572021484375,202.9097900390625,195.60499572753906,161.32386779785156,217.4725799560547,70.20693969726562,282.0543212890625,130.2711639404297,114.70274353027344,408.9597473144531,81.59083557128906,125.57905578613281,167.0531768798828,360.2469787597656,221.58497619628906,205.75,581.7335205078125,268.2278747558594,39.50643539428711,75.70391845703125
2024-08-29,229.28536987304688,325.7522277832031,172.1199951171875,257.6993713378906,172.25999450683594,349.1013488769531,255.91259765625,49.339942932128906,144.33050537109375,89.4137954711914,502.11041259765625,362.8345947265625,205.3942108154297,196.03866577148438,161.62893676757812,218.37672424316406,70.50049591064453,282.8501892089844,131.5579376220703,114.76136016845703,411.4696960449219,82.05403900146484,117.56102752685547,168.01165771484375,359.16131591796875,223.4907684326172,206.27999877929688,584.728515625,273.33953857421875,39.27790832519531,76.042236328125
2024-08-30,228.49710083007812,328.52740478515625,178.5,256.5191955566406,173.74000549316406,353.52911376953125,251.82012939453125,49.486820220947266,144.84939575195312,89.98128509521484,505.2294006347656,364.2580261230469,205.79013061523438,199.2222137451172,163.23313903808594,220.92202758789062,70.91146087646484,283.6363220214844,133.31982421875,115.72860717773438,415.4736328125,82.11316680908203,119.34059143066406,169.50372314453125,367.8861389160156,225.2089385986328,214.11000061035156,583.3743286132812,275.3821716308594,39.78256607055664,76.84823608398438
2024-09-03,222.28079223632812,325.2601623535156,176.25,252.21493530273438,161.02000427246094,337.78363037109375,247.00079345703125,49.01682662963867,141.62835693359375,88.73680114746094,482.6636657714844,360.54132080078125,202.77122497558594,198.38441467285156,164.51255798339844,216.49964904785156,71.43984985351562,282.1834716796875,129.51889038085938,113.90158081054688,407.80438232421875,80.4996109008789,107.973388671875,172.4483642578125,362.2887268066406,225.01144409179688,210.60000610351562,591.7562866210938,277.54443359375,40.87759017944336,76.78852844238281
2024-09-04,220.36500549316406,325.3880920410156,173.3300018310547,249.66612243652344,163.22000122070312,334.3188171386719,246.62240600585938,48.66432571411133,139.09263610839844,88.85626983642578,485.8123779296875,360.47216796875,203.4442901611328,201.17372131347656,164.7093963623047,215.54638671875,70.99951934814453,284.66412353515625,130.8056640625,113.1395034790039,407.26654052734375,80.20263671875,106.18383026123047,173.81198120117188,361.2429504394531,228.5168914794922,219.41000366210938,597.1926879882812,279.4874572753906,39.496910095214844,76.85818481445312
2024-09-05,221.8916473388672,319.2077941894531,177.88999938964844,249.76528930664062,162.14999389648438,331.15185546875,245.06907653808594,48.106204986572266,137.97650146484375,88.25891876220703,483.07952880859375,357.6846008300781,200.91038513183594,199.67556762695312,162.37692260742188,213.875732421875,69.63941192626953,284.6048583984375,130.0632781982422,115.86539459228516,406.75860595703125,80.01455688476562,107.18358612060547,173.3870849609375,358.6334533691406,228.94151306152344,230.1699981689453,588.6031494140625,277.6241149902344,39.33503723144531,76.5795669555664
2024-09-06,220.33506774902344,315.4681701660156,171.38999938964844,242.0493927001953,157.6199951171875,326.9821472167969,242.9282684326172,47.48933029174805,135.65618896484375,87.55205535888672,474.890869140625,355.9053039550781,196.10984802246094,197.85220336914062,161.77658081054688,208.79490661621094,69.61006164550781,286.1268615722656,127.29178619384766,115.13262939453125,400.0953369140625,79.81656646728516,102.8046646118164,173.5056610107422,359.38043212890625,231.51878356933594,210.72999572753906,589.9771118164062,278.3714599609375,39.18268585205078,76.26115417480469
