,AAPL,AMGN,AMZN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,NVDA,PG,SHW,TRV,UNH,V,VZ,WMT
2023-08-16,175.28529357910156,251.15969848632807,135.07000732421875,157.31448364257812,229.9499969482422,267.8060607910156,205.51736450195312,50.24260330200195,147.43280029296875,85.29627990722656,314.5140075683594,318.8274841308594,180.55642700195312,133.32293701171875,163.27041625976562,143.9777374267578,57.34251403808594,273.9249267578125,78.6181411743164,103.47479248046876,316.7426147460937,103.50917053222656,43.46227264404297,147.65048217773438,268.99542236328125,159.86891174316406,490.1011962890625,236.5722503662109,29.533559799194336,52.12065505981445
2023-08-17,172.73399353027344,252.07687377929688,133.97999572753906,157.13832092285156,224.5399932861328,268.4499206542969,202.3897705078125,51.921783447265625,149.90065002441406,84.87152862548828,312.9945373535156,313.3227233886719,180.06265258789062,133.3418731689453,164.8047332763672,142.48228454589844,57.46576690673828,270.5272827148437,79.40594482421875,103.65560913085938,313.2627868652344,102.0711441040039,43.32034683227539,146.5904083251953,264.616943359375,157.97410583496094,480.75775146484375,234.67404174804688,29.34714698791504,50.95231246948242
2023-08-18,173.22042846679688,250.137435913086,133.22000122070312,156.7958221435547,226.6499938964844,267.11334228515625,203.37274169921875,52.21587753295898,150.97970581054688,84.91104125976562,310.5193786621094,313.40887451171875,180.6435546875,134.05287170410156,163.36512756347656,142.8082275390625,57.78813171386719,270.4120483398437,79.1763687133789,103.92206573486328,312.8673095703125,101.83794403076172,43.27537536621094,147.00477600097656,266.7099304199219,157.06536865234375,485.1180114746094,235.46495056152344,29.45367431640625,51.68539047241211
2023-08-21,174.5605926513672,249.06741333007807,134.67999267578125,157.43191528320312,227.22000122070312,266.08905029296875,207.54286193847656,52.5953483581543,150.4730224609375,84.83201599121094,307.7767028808594,310.24005126953125,181.00177001953125,134.87759399414062,158.49708557128906,143.29710388183594,57.295108795166016,268.7804260253906,78.52718353271484,104.3407974243164,318.2057189941406,99.94322967529295,46.94137573242188,146.26275634765625,266.93701171875,156.2243194580078,484.3783264160156,236.7403259277344,29.293888092041016,51.54793930053711
2023-08-22,175.94049072265625,246.12481689453125,134.25,155.6704864501953,230.07000732421875,263.601318359375,205.2890014648437,52.61432266235352,149.23440551757812,84.74311065673828,304.65167236328125,310.6421813964844,180.09169006347656,134.1287078857422,157.23739624023438,140.32534790039062,56.944297790527344,269.03955078125,77.98883056640625,102.04729461669922,318.7790832519531,98.58293914794922,45.64308166503906,146.32057189941406,266.96661376953125,154.61952209472656,479.1810607910156,237.83773803710932,29.471424102783203,51.38430404663086
2023-08-23,179.80218505859375,245.8764190673828,135.52000427246094,156.02276611328125,228.5800018310547,266.3621826171875,207.64215087890625,53.107643127441406,149.4314422607422,84.78262329101562,308.0346984863281,312.1834716796875,181.127670288086,135.94879150390625,155.8262481689453,141.27438354492188,57.14340591430664,270.536865234375,78.89136505126953,105.92057037353516,323.2672424316406,95.94979095458984,47.09030151367188,147.68905639648438,268.585693359375,155.5766143798828,476.3585510253906,239.548080444336,29.462547302246094,51.74103164672852
2023-08-24,175.0966796875,245.16943359375,131.83999633789062,154.40811157226562,217.3099975585937,262.7232666015625,204.0478973388672,52.40561676025391,148.2022247314453,81.46363067626953,305.7698059082031,308.8327331542969,179.2687530517578,136.08152770996094,156.35659790039062,141.14016723632812,56.99170303344727,270.9975891113281,77.98092651367188,104.15998077392578,316.3174743652344,94.8615493774414,47.13726425170898,147.00477600097656,265.8016357421875,156.45631408691406,475.0543823242188,236.7501983642578,29.63121223449707,51.34503555297852
2023-08-25,177.31045532226562,244.940170288086,133.25999450683594,154.92677307128906,223.41000366210932,265.9036560058594,207.979736328125,52.842018127441406,149.30947875976562,82.34276580810547,305.9513854980469,309.0912170410156,180.3724670410156,137.78787231445312,158.59844970703125,140.9676513671875,57.25718307495117,273.1378479003906,78.33718872070312,104.8832550048828,319.2931823730469,96.03723907470705,45.99289321899414,147.968505859375,261.26025390625,156.26300048828125,476.0470581054688,239.8150177001953,29.60457801818848,51.64938735961914
2023-08-28,178.8789520263672,245.10256958007807,133.13999938964844,155.77813720703125,227.0599975585937,268.0792541503906,210.21372985839844,53.31635665893555,150.33229064941406,83.13300323486328,311.51324462890625,312.0111694335937,181.90220642089844,138.4230194091797,156.72865295410156,141.45652770996094,57.41836166381836,272.2740783691406,82.43018341064453,103.66513061523438,320.00494384765625,96.80482482910156,46.80944442749024,148.1997833251953,262.9681701660156,155.4799346923828,478.14935302734375,241.0606689453125,29.78211975097656,51.94393157958984
2023-08-29,182.7803497314453,248.05470275878903,134.91000366210938,156.8056182861328,227.25,273.1912536621094,210.45201110839844,53.65788650512695,150.09768676757812,83.37007904052734,317.8013916015625,315.3331604003906,183.4900360107422,138.83062744140625,156.74771118164062,142.6068878173828,57.361473083496094,272.187744140625,83.57813262939453,104.67388153076172,324.6611328125,98.88414764404295,48.75738143920898,148.2865447998047,267.0159912109375,155.9149627685547,479.6578979492188,242.55355834960932,30.79408836364746,52.37919616699219
